name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54
Goblin Mk.II,nsp_grox,Phase Destroyer,Low Tech,interdictor,10,5000,700,4000,12000,400,100,,80,70,70,30,30,240,PHASE,phasecloak,90,,,0.04,0.07,6,13,30,20,1,20,9,30000,10,20,240,0.25,16,14,,"rare_bp, merc",,0.5,2,2,,8,,,,,,,
Varanus,nsp_hammonitor,Destroyer,Midline,fortressshield,15,5000,400,4200,4167,250,105,,80,60,40,30,60,400,OMNI,,200,0.5,0.7,,,60,120,100,60,2,30,9,65000,5,20,300,0.20,14,14,,"rare_bp, merc",,0.5,2,3,,9,,,,,,,
Mace,nsp_mace,Cruiser,Midline,maneuveringjets,14,8000,1000,11000,14000,700,155,,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,,"rare_bp, merc, ind",,0.5,2,3,,,,,,,,,
Regal,nsp_eagle_r,Automated Cruiser,Remnant,plasmajets,16,9500,1000,14000,14000,900,190,,50,40,30,10,20,1400,FRONT,,230,0.18,0.8,,,0,0,150,100,3,33,8,100000,3,16,480,0.25,25,25,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,12,,,,,,,
Elucidation,nsp_elucidation,Automated Heavy Cruiser,Remnant,plasmaoverdrive,16,12000,1100,16000,14000,1000,215,,60,30,20,8,15,1900,OMNI,,230,0.20,0.6,,,0,0,150,100,5,33,8,100000,3,16,320,0.25,35,35,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,12,,,,,,,
Phosphophyllite,nsp_phosphophyllite,Droneship,Remnant,highenergyfocus,16,3000,300,6000,3750,400,110,,95,75,50,60,60,450,OMNI,,150,0.4,0.6,,,0,0,80,60,2,30,10,50000,5,15,420,0.25,11,11,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,13,,,,,,,
Goblin,nsp_goblin,Phase Destroyer,Low Tech,ammofeed,16,6500,800,4000,12000,300,110,,70,60,60,20,25,1000,PHASE,phasecloak,,,,0.06,0.07,90,120,80,55,2,30,8,75000,5,20,390,0.25,13,13,,rare_bp,,0.7,3,4,,16,,,,,,,
Mule (UF),nsp_upgradedmule,Combat Freighter,Low Tech,burndrive,12,5800,700,3300,2500,200,100,,70,30,20,20,15,650,OMNI,,120,0.4,1,,,60,130,280,50,4,40,9,40000,5,10,520,0.25,7,10,,"base_bp, ind",,0.5,2,3,,16,,,,,,,
Anger,nsp_anger,Heavy Cruiser,Low Tech,microburn_lowtech,15,14000,1500,10000,10000,500,200,,50,20,10,16,12,2250,FRONT,,150,0.4,1,,,200,300,150,150,5,30,8,125000,4,12,540,0.25,25,25,,"unique_bp, merc, ind",,0.4,2,3,,21,,,,,,,
Ajax,nsp_ajax,Battlecruiser,Low Tech,maneuveringjets,24,15000,1200,20000,30000,900,270,,60,40,30,20,4,2500,OMNI,,150,0.4,1.4,,,300,400,150,150,6,30,8,150000,3,15,600,0.25,35,35,,"unique_bp, merc, ind",,0.5,2,4,,22,,,,,,,
Medusa (LT),nsp_medusa_lt,Destroyer,Low Tech,maneuveringjets,12,3000,400,6000,6667,300,120,,80,70,50,30,80,310,OMNI,,260,0.3,0.9,,,45,65,60,50,4,20,9,50000,5,10,500,0.25,13,13,,"rare_bp, hist1t, merc, ind",,0.7,2,3,,23,,,,,,,
Explorator,nsp_explorator,Cruiser,Low Tech,drone_strike,10,15000,1200,10000,6000,500,145,4,35,15,10,12,6,1500,OMNI,,290,0.4,1,,,120,450,700,220,4,60,7,70000,5,10,540,0.25,16,16,,"base_bp, merc, ind",,0.4,2,3,,24,,,,,,,
Pitbull,nsp_pitbull,Combat Freighter,Low Tech,ammofeed,3,2300,400,900,1250,200,45,,160,160,90,80,90,220,NONE,,0,0,0,,,15,20,20,30,1,30,10,9500,5,10,240,0.25,11,11,,"base_bp, ind",,0.4,2,2,,25,,,,,,,
Phite,nsp_phite,Phase Shuttle,Midline,maneuveringjets,3,1200,300,1800,1000,120,45,,180,150,75,45,85,200,PHASE,phasecloak,,,,0.04,0.04,3,35,40,15,2,15,9,9000,5,20,180,0.25,4,4,,"rare_bp, ind",,0.75,2,2,,26,,,,,,,
Shrike (Z),nsp_shrike_z,Light Destroyer,High Tech,phaseteleporter_shell,9,2800,250,5400,5833,800,120,,140,100,120,65,100,250,OMNI,,360,0.3,0.3,,,0,40,60,90,0.9,30,10,90000,5,25,300,0.85,15,15,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,0.7,2,3,,29,,,,,,,
Phosphor,nsp_phosphor,Automated Cruiser,Remnant,NSP_drift,16,9500,600,12000,14000,750,180,2,65,30,20,25,25,1900,OMNI,,120,0.25,0.8,,,0,0,150,100,5,33,8,100000,3,16,320,0.25,30,30,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassowary,nsp_cassowary,Battlecarrier,Midline,maneuveringjets,35,25000,1800,20000,,900,340,3,20,10,10,4,4,6000,OMNI,,150,0.25,1.2,,,1000,1900,500,600,20,30,7,800000,3,15,720,0.25,70,70,,rare_bp,,0.4,3,5,,,,,,,,,
Peregrine ,nsp_peregrine,Battlecruiser,Midline,plasmajets,24,20000,1200,20000,25000,700,260,,40,20,40,12,12,2500,OMNI,,140,0.25,1.2,,,400,500,300,300,10,30,8,300000,3,15,740,0.25,40,40,,rare_bp,,0.5,2,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onslaught (PR),nsp_onslaught_domain,Battleship,Low Tech,microburn,28,20000,1750,17000,15000,600,370,,30,10,10,4,4,3300,FRONT,,0,0.4,0.9,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,45,"UNBOARDABLE, HIDE_IN_CODEX, SHIP_WITH_MODULES",restricted,,0.4,2,4,,31,,,,,,,
Defense Module,nsp_onslaught_domain_noseshield,Defense Module,Low Tech,burndrive,28,9000,1750,17000,15000,600,360,,30,10,10,4,4,400,FRONT,,180,0.4,0.9,,,0,0,300,400,15,27,7,350000,3,12,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable",,0.4,2,4,,,,,,,,,
Legion (PR),nsp_legion_domain,Battlecarrier,Low Tech,microburn,28,18000,1650,12000,12500,500,320,4,30,15,15,6,6,3500,FRONT,,0,0.4,0.9,,,700,1500,300,300,15,20,7,375000,3,12,720,0.25,40,45,"CARRIER, COMBAT, NO_AUTO_ESCORT, UNBOARDABLE, HIDE_IN_CODEX, SHIP_WITH_MODULES",restricted,,0.4,2,4,,32,,,,,,,
Defense Module,nsp_legion_domain_noseshield,Defense Module,Low Tech,burndrive,28,18000,1650,12000,12500,500,0,,0,0,0,0,0,400,FRONT,,180,0.4,0.9,,,0,0,0,0,15,20,7,375000,3,12,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable",,0.4,2,4,,,,,,,,,
Invictus (XIV),nsp_invictus_xiv,Dreadnought,XIV Battlegroup,lidararray,35,45000,5000,30000,12500,900,310,,40,15,15,4,4,10000,PHASE,canister_flak,0,0,0,,,4000,6000,1000,800,24,40,6,700000,3,12,1200,0.25,85,85,NEVER_DODGE_MISSILES,"rare_bp, ship_unique_signature",,0.2,2,2,,33,,,,,,,
Hobgoblin,nsp_hobgoblin,Phase Destroyer,Low Tech,deepstrike_maneuver,16,8000,600,4000,12000,450,90,,60,70,60,25,30,800,PHASE,phasecloak,,,,0.04,0.07,80,100,80,55,2,30,8,90000,5,20,390,0.25,17,17,,"rare_bp, merc, ind",,0.7,3,4,,38,,,,,,,
Konoblin,nsp_konoblin,Phase Destroyer,Low Tech,burndrive,16,8000,400,3000,12000,390,80,,80,40,60,20,20,1000,PHASE,phasecloak,,,,0.05,0.08,70,100,40,25,3,30,8,60000,5,20,390,0.25,11,11,,"rare_bp, merc, ind",,0.7,3,4,,35,,,,,,,
Reprieve,nsp_reprieve,Heavy Cruiser,Low Tech,kardakes_feeder,15,28000,4500,20000,10000,500,170,,30,20,10,12,12,2250,PHASE,nsp_burst_damper,,,,,,1200,2800,400,600,7,30,6,125000,4,12,540,0.25,30,30,,"rare_bp, merc, ind, special_allows_system_use, system_allows_special_use",,0.4,2,3,,36,,,,,,,
Dominator (PR),nsp_dominator_pr,Heavy Cruiser,Low Tech,microburn,15,15000,1500,12000,10000,700,220,,35,25,18,14,16,2250,FRONT,,0,0.4,0.9,,,220,300,150,150,5,30,8,125000,4,12,540,0.25,25,27,"UNBOARDABLE, HIDE_IN_CODEX, SHIP_WITH_MODULES",restricted,,0.4,2,3,,37,,,,,,,
Defense Module,nsp_dominator_pr_noseshield,Heavy Cruiser,Low Tech,deepstrike_domain,15,7000,1500,10000,10000,500,220,,35,25,18,14,16,2250,FRONT,,159,0.4,0.9,,,0,0,150,150,5,30,8,125000,4,12,540,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable",,0.4,2,3,,,,,,,,,
Culmination,nsp_destrapogee,Destroyer,High Tech,fortressshield,12,3000,200,9000,6667,600,100,,75,50,60,40,100,300,OMNI,,280,0.3,0.8,,,40,60,50,40,2,20,9,60000,5,20,300,0.25,12,12,,"rare_bp, hist1t, merc, ind",,0.7,2,3,,42,,,,,,,
Hammerhead (TT),nsp_hammerhead_tt,Destroyer,High Tech,highenergyfocus,10,4000,350,4200,4167,400,100,,100,70,50,40,70,400,OMNI,,300,0.3,0.7,,,40,90,100,60,2,30,9,40000,5,12,360,0.25,12,12,,"hightech_bp, merc, ind",,0.5,2,3,,45,,,,,,,
Falcon (TT),nsp_falcon_tt,Light Cruiser,High Tech,plasmajets,12,6000,700,7000,8000,500,125,,90,75,50,23,29,650,OMNI,,270,0.37,0.75,,,90,180,120,100,2,33,9,100000,4,16,390,0.25,14,16,,"hightech_bp, merc, ind",,0.5,2,3,,,,,,,,,
Eagle (TT),nsp_eagle_tt,Cruiser,High Tech,highenergyfocus,14,8000,800,11000,14000,800,155,,70,50,30,19,24,1200,OMNI,,270,0.37,0.75,,,140,250,150,100,2,33,9,120000,3,16,390,0.25,20,23,,"hightech_bp, merc, ind",,0.5,2,2,,,,,,,,,
Enforcer Mk.1,nsp_enforcermk1,Destroyer,Domain Restricted,combat_burn,10,9000,1300,4000,3333,200,130,,60,40,20,30,20,500,NONE,,0,0,0,,,0,0,90,90,3,30,9,38000,5,12,,,20,20,"HIDE_IN_CODEX, SHIP_WITH_MODULES","no_auto_penalty, codex_unlockable",,10000,3,2,57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nsp_enforcermk1_armorright,Vambrace Module,Domain Restricted,,10,5000,1300,4000,3333,200,110,,60,40,20,30,20,500,NONE,,0,0,0,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,3,,,,,,,,,
,nsp_enforcermk1_armorleft,Vambrace Module,Domain Restricted,,10,5000,1300,4000,3333,200,110,,60,40,20,30,20,500,NONE,,0,0,0,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,3,,,,,,,,,
,nsp_enforcermk1_helmet,Vambrace Module,Domain Restricted,,10,5000,1300,4000,3333,200,110,,60,40,20,30,20,500,NONE,,0,0,0,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,3,,,,,,,,,
Kardakes,nsp_kardakes,Heavy Cruiser,Domain Restricted,kardakes_feeder,15,16000,1600,10000,10000,500,190,,25,15,8,10,10,3000,FRONT,,150,0.4,1.3,,,500,700,150,150,5,30,7,125000,4,12,540,0.25,30,30,HIDE_IN_CODEX,"nsp_ancient_bp, ship_unique_signature",,0.4,2,3,,,,,,,,,
Erebid,nsp_erebid,Assault Craft,Domain Restricted,deepstrike_maneuver,12,8000,800,6000,5000,300,110,,90,90,80,30,60,500,FRONT,,150,0.4,1.2,,,80,100,80,100,0.5,200,7,80000,6,7,400,0.25,12,12,HIDE_IN_CODEX,"nsp_ancient_bp, ship_unique_signature",,0.5,2,2,,,,,,,,,
Fulgurite,nsp_fulgurite,Patrol Craft,Domain Restricted,nsp_energy_lash,25,9000,700,5000,5000,400,110,,110,90,70,30,60,350,OMNI,,150,0.4,1.2,,,70,90,40,100,0.5,200,8,100000,6,10,400,0.25,10,10,HIDE_IN_CODEX,"nsp_ancient_bp, ship_unique_signature",,0.5,2,3,,,,,,,,,
Onslaught,nsp_onslaught_ancient,Battleship,Domain Restricted,combat_burn,28,30000,1200,17000,12500,500,360,,25,10,10,4,4,4000,FRONT,,180,0.4,1,,,900,1700,700,800,10,80,7,450000,5,10,,,50,50,"SHIP_WITH_MODULES, HIDE_IN_CODEX","codex_unlockable, no_dealer",,0.4,2,4,,,,,,,,,
Legion,nsp_ancient_legion,Battlecarrier,Domain Restricted,combat_burn,28,30000,1200,12000,12500,400,300,4,20,15,15,6,6,3500,FRONT,,180,0.4,1,,,700,1500,300,300,15,20,7,375000,3,10,,,50,50,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX, SHIP_WITH_MODULES",nsp_ancient_bp,,0.4,2,2,,49,,,,,,,
Enforcer,nsp_enforcer_ancient,Destroyer,Domain Restricted,burndrive,10,9000,1300,4000,3333,200,130,,60,40,20,30,20,500,NONE,,0,0,0,,,80,150,90,90,3,30,9,38000,5,12,,,20,20,"HIDE_IN_CODEX, SHIP_WITH_MODULES",nsp_ancient_bp,,10000,3,2,57,,,,,,,,
Dominator,nsp_dominator_ancient,Heavy Cruiser,Domain Restricted,combat_burn,15,20000,1000,10000,10000,400,200,,30,20,10,12,12,2250,FRONT,,150,0.4,1,,,380,600,150,250,5,30,8,125000,4,12,,,30,30,"HIDE_IN_CODEX, SHIP_WITH_MODULES",nsp_ancient_bp,,0.4,2,3,,50,,,,,,,
Iliad,nsp_iliad,Battlecruiser,High Tech,plasmajets,24,13000,900,30000,30000,1300,360,2,45,20,15,6,6,2500,OMNI,,120,0.4,0.8,,,400,500,300,300,7,30,8,500000,3,15,600,0.25,50,50,,"rare_bp, merc",,0.5,2,4,,64,,,,,,,
Dominator (LP),nsp_dominator_pather,Heavy Cruiser,Luddic Path,orion_device,15,14000,1500,10000,10000,500,210,,30,20,10,12,12,2250,NONE,,,,,,,0,0,150,150,5,30,8,125000,4,12,540,0.25,26,26,SHIP_WITH_MODULES,"special_allows_system_use, system_allows_special_use",,0.4,2,3,,60,,,,,,,
,nsp_dominator_pather_canister,Canister Flak,Luddic Path,,15,14000,1500,10000,10000,500,210,,30,20,10,12,12,2250,PHASE,canister_flak,,,,,,0,0,0,0,0,0,0,125000,0,0,540,0.25,0,0,MODULE,"special_allows_system_use, system_allows_special_use",,0.4,2,3,,60,,,,,,,
Balaam,nsp_balaam,Logistics Vehicle,Low Tech,burndrive,35,40000,10000,30000,12500,500,240,,35,15,15,4,4,10000,PHASE,canister_flak,0,0,0,,,4000,6000,1000,800,20,40,6,700000,3,12,1200,0.25,60,60,,rare_bp,,0.2,2,2,,,,,,,,,
Buffalo (TLL),nsp_lp_buffalo,Freighter,Luddic Path,burndrive,5,3000,125,1500,1167,70,45,,50,25,20,15,7,400,OMNI,,120,0.5,1,,,10,20,400,80,2,40,8,20000,5,20,340,0.25,3,3,"COMBAT, FREIGHTER",,,0.6,2,3,,,,,,,,,
Incursor,nsp_incursion,Assault Frigate,Low Tech,combat_burn,6,4000,400,2000,1875,200,55,,160,120,100,75,90,300,PHASE,damper,,,,,,30,40,50,30,1,30,10,30000,8,10,240,0.25,8,8,,"rare_bp, merc, ind, special_allows_system_use, system_allows_special_use, pirate",,0.75,0.4,2,,,,,,,,,
Incursor (LC),nsp_incursion_church,Assault Frigate,Low Tech,combat_burn,6,4000,400,2000,1875,200,55,,160,120,100,75,90,300,PHASE,damper,,,,,,30,40,50,30,1,30,10,30000,8,10,240,0.25,8,8,,"special_allows_system_use, system_allows_special_use",,0.75,0.4,2,,,,,,,,,
Incursor (LP),nsp_incursion_path,Assault Frigate,Low Tech,combat_burn,6,4000,400,2000,1875,200,55,,160,120,100,75,90,300,PHASE,damper,,,,,,30,40,50,30,1,30,10,30000,8,10,240,0.25,9,9,,"special_allows_system_use, system_allows_special_use",,0.75,0.4,2,,,,,,,,,
Incursor (M),nsp_incursion_merc,Assault Frigate,Low Tech,combat_burn,6,4000,400,2000,1875,400,70,,160,120,100,75,90,300,OMNI,,90,0.3,0.87,,,30,40,50,30,1,30,10,30000,8,10,240,0.25,10,10,,"rare_bp, merc, ind, special_allows_system_use, system_allows_special_use, pirate",,0.75,0.4,2,,,,,,,,,
Hammerhead (LP),nsp_hammerhead_pather,Destroyer,Luddic Path,burndrive,10,5000,500,4200,4167,250,95,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,10,10,,,,0.5,2,3,,,,,,,,,
Dominator (M),nsp_dominator_phase,Heavy Cruiser,Low Tech,deepstrike_maneuver,28,14000,1300,10000,10000,600,190,,40,20,10,19,19,2250,PHASE,phasecloak,,,,0.05,0.08,200,300,150,150,5,30,8,125000,4,12,290,0.25,28,28,,ship_unique_signature,,0.4,2,3,,,,,,,,,
Avante-garde,nsp_phaseguard,Heavy Phase Frigate,Low Tech,ammofeed,8,3000,600,2000,1875,150,80,,135,120,100,60,90,300,PHASE,phasecloak,,,,0.04,0.07,40,50,30,30,1,30,10,30000,8,10,300,0.25,8,8,,"rare_bp, merc, ind",,0.75,0.4,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SONG WEAVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exponent,nsp_exponent,Experimental Cruiser,Unknown,nsp_temporaljaunt,27,8000,700,14000,10500,800,130,,60,60,40,20,25,1400,OMNI,,120,0.3,1.2,,,0,0,200,140,3,33,8,500000,3,15,480,0.25,30,30,HIDE_IN_CODEX,"no_bp_drop, no_dealer, no_auto_penalty, ship_unique_signature",0.4,0,2,3,,,,,,,,,
Exponent,nsp_exponent_subpar,Experimental Cruiser,Unknown,nsp_temporaljaunt,27,8000,700,14000,10500,800,130,,60,60,40,20,25,1400,OMNI,,120,0.3,1.2,,,0,0,200,140,3,33,8,500000,3,15,480,0.25,30,30,HIDE_IN_CODEX,"no_bp_drop, no_dealer, no_auto_penalty, ship_unique_signature",0.4,0,2,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AUTOMIDLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassowary (A),nsp_cassowary_auto,Battlecarrier,Midline,plasmaoverdrive,35,25000,1800,20000,,1200,400,3,25,15,10,6,6,6000,OMNI,,150,0.25,1.2,,,1000,1900,500,600,20,30,7,800000,3,15,720,0.25,80,80,HIDE_IN_CODEX,"no_auto_penalty, ship_unique_signature",,0.4,3,5,,,,,,,,,
Champion (A),nsp_champion_auto,Heavy Cruiser,Midline,plasmaoverdrive,15,10000,1250,13000,11000,800,190,,65,40,30,15,20,1500,OMNI,,210,0.4,0.7,,,0,5,150,150,4,38,8,125000,4,12,300,0.45,27,27,HIDE_IN_CODEX,"no_auto_penalty, ship_unique_signature",,0.5,2,4,,30,,,,,,,
Hammerhead (A),nsp_hammerhead_auto,Destroyer,Midline,plasmaoverdrive,10,6000,700,6500,4167,550,105,,90,60,40,30,60,400,OMNI,,260,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,13,13,HIDE_IN_CODEX,"no_auto_penalty, ship_unique_signature",,0.5,2,3,,,,,,,,,
Centurion (A),nsp_centurion_auto,Heavy Frigate,Midline,deepstrike_maneuver,6,2250,500,2500,2188,175,55,,120,110,90,40,80,300,FRONT,,360,0.4,0.8,,,30,50,50,25,1,25,10,20000,8,10,240,0.25,8,8,HIDE_IN_CODEX,"no_auto_penalty, ship_unique_signature",,0.4,2,2,,,,,,,,,
Falcon (A),nsp_falcon_auto,Light Cruiser,Midline,plasmaoverdrive,12,6000,750,7000,8000,400,130,,80,70,50,20,25,650,FRONT,,270,0.4,0.8,,,0,0,120,100,3,33,9,80000,4,12,480,0.25,16,16,HIDE_IN_CODEX,"no_auto_penalty, ship_unique_signature",,0.5,2,3,,55,,,,,,,
Brawler (A),nsp_brawler_auto,Gunship,Midline,plasmaoverdrive,10,4000,500,6000,3125,350,65,,100,180,120,60,120,250,FRONT,,270,0.4,0.8,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,10,10,HIDE_IN_CODEX,"no_auto_penalty, ship_unique_signature",,0.4,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#THE ENTERPRISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy,nsp_galaxy,Battlecruiser,High Tech,plasmajets,24,12000,1000,25000,30000,800,200,2,50,20,15,15,15,2500,FRONT,,360,0.4,0.9,,,400,1200,500,900,7,30,9,500000,3,30,600,0.25,40,40,,no_bp_drop,,0.5,2,4,,64,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TASKFORCE SAFEGUARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onslaught (XIV-A),nsp_onslaught_safeguard,Battleship,XIV Battlegroup,burndrive,28,20000,1750,17000,15000,600,370,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,0,0,300,400,15,27,7,350000,3,12,720,0.25,40,40,HIDE_IN_CODEX,"codex_unlockable, no_auto_penalty, do_not_restore",,0.4,2,4,,51,,,,,,,
Legion (XIV-A),nsp_legion_safeguard,Battlecarrier,XIV Battlegroup,burndrive,28,18000,1650,12000,12500,500,310,4,30,15,15,6,6,3500,FRONT,,180,0.4,1,,,0,0,300,300,15,20,7,375000,3,12,720,0.25,40,40,"HIDE_IN_CODEX, CARRIER, COMBAT, NO_AUTO_ESCORT","codex_unlockable, no_auto_penalty, do_not_restore",,0.4,2,4,,52,,,,,,,
Dominator (XIV-A),nsp_dominator_safeguard,Heavy Cruiser,XIV Battlegroup,burndrive,15,14000,1500,10000,10000,500,210,,30,20,10,12,12,2250,FRONT,,150,0.4,1,,,0,0,150,150,5,30,8,125000,4,12,540,0.25,25,25,HIDE_IN_CODEX,"codex_unlockable, no_auto_penalty, do_not_restore",,0.4,2,3,,53,,,,,,,
