id,type,text1,text2,text3,text4,notes
nsp_goblin,SHIP,"Recall that the Gremlin-class phase vessel was reverse engineered from the firmware of a Nanoforge, a phase rig prototype that was never intended for mass production. The Goblin represents an attempt to salvage the design by reworking it somewhat, while leaving the overall profile of the ship mostly unchanged. The prototype phase coil was replaced with with a later iteration that, while still somewhat unreliable, is far less likely to cause hallucinations and other reported side effects of the phase-wash associated with the Gremlin. The life support systems, similarly, were optimised and somewhat purpose-designed.",,,,
nsp_bernard,SHIP,"A uniquely divisive ship, the St. Bernard, often affectionately referred to as a 'Bernie' by those who captain it and happen to like it, has equally as many admirers as detractors in the Persean Sector. Its design, surprisingly, does not predate the use of shields, but it lacks them anyway, instead using dedicated physical shielding for its cargo and crew, a la several other combat freighters fielded in the Sector. Curiously, the Bernie has the same engine boosting system as the Absolution despite not being manufactured by Orion Shipyards, which lends well to its intended role of rebuffing fighter and bomber raids on logistics while also carrying supplies, aided by its boost system, allowing it to rapidly close in on an ally to defend them. It is rather well armed for a freighter, complete with integrated Devastator Cannon, which its design is contemporaneous to. 

In the post-Collapse reality of the Persean Sector, the Bernie finds itself fulfilling a role not dissimilar to its original purpose, in driving off and destroying pirate vessels as they attack cargo vessels in the fringes of the core worlds and beyond. It is good at this job, so much so that pirate warlord Kanta monetarily rewards those who destroy a St Bernard.
The Bernie is very much a glass cannon design, capable of intense alpha strike damage, but lacking staying power due to a lack of shielding systems, among other things. It offers a risk/reward dilemma to its captains: do they retreat, using its bursts of speed to quickly leave a battlespace, or do they engage and possibly risk having their ship disabled or worse?",,,,
nsp_pitbull,SHIP,"A comprehensive refit of the Hound class freighter, the Pitbull is wholly intended as a combat vessel first, and everything else second. Partly inspired by the 'ingenuity' of the Pirates' Mudskipper Mk. II, the Pitbull features a large weapon mounting, and an integration sytsem not unlike that seen in the Onslaught class. Furthermore, to aid in it's fire-support role, the vessel has been equipped with a missile autoforge, based on a modified and hacked forge from a Mora class carrier. Feeding the ship's two built-in sabots, it allows it to have a continual edge in combat, at the cost of versatility.",,,,
nsp_wolf_heg,SHIP,"A technologically advanced frigate with an efficient shield generator and an impressive weapons package that allows it to punch far above its weight. These same characteristics mean its frigate-grade power core struggles to keep up, making careful flux management a priority. 

This variant of the Wolf, fielded by the Hegemony, has had it's weapon systems upgraded, and altered to allow the usage of both ballistic and energy weapons, to allow the ship to fit more easily into the doctrine of the Hegemony's fleets.",,,,
nsp_phite,SHIP,"Hailing from the age when phase technologies were still unseen in wide-scale deployment, this prototype vessel is one explicitly intended for surveillance first, and combat second. Equipped with an, for the time of it's development, extremely advanced, and compact sensor array. Alongside this, the vessel still retains some of the comforts of it's base hull, having comfortable accommodations intended for long-term, isolated missions.

However, the design ran into several complications in testing, with the sensor array's readings affected by the interference that the ship's phase coil caused when active, meaning that in order to get proper readings, the ship had to risk detection by de-activating it's phase coil, and the phase-field it generated. This, alongside further complications in the vessel's one and only field-test before being shelved, meant that it was never put into full-scale production, or widespread adoption. 

Fabrique Orbitale, having invested much into the project, would quietly put the ship into limited production, advertising it through it's capabilities as a surveillance vessel, and neglecting to mention the effects of a phase-field on crews isolated for extended periods of time. Of course, when sensor suites became capable of detecting phase vessels as standard, what little customers the ship had dwindled even further, making the eccentric vessel a rare oddity in the Persean sector.",,,,
nsp_explorator,SHIP,"A bizarre pre-Collapse design, the Explorator was designed in cooperation between Orion Shipyards and the team responsible for the Termination Sequence drone attack system seen in the Tempest-class frigate. Advertised, even before the fall of the Domain as a mining and exploration vessel for the fringes of human space, the places that had only just about been partially mapped by automated probes. It fulfils its advertised role very well.

Though not particularly well armed, as to be expected from a vessel classified as ""civilian"", the Explorator is equipped with a fleet of mining drones and accompanying fabrication facilities for which that utilise a variant of the Terminator drone's termination sequence to give the Explorator an unexpected edge in both offense and defense. More than one cocky pirate captain has found themselves in vacuum at the manipulator arms of the modified mining drones of the Explorator.
To say this particular feature was divisive is an understatement, yet through a series of court cases and likely trickery on the behalf of Orion Shipyards, it was approved for production and sale with the mild caveat of only being available for direct sale to the Domain's frontier sectors, such as the Persean Sector. 
The Explorator is not to be underestimated, either by the one captaining it or anyone hoping for an easy kill.",,,,
nsp_ajax,SHIP,"The Ajax-class battlecruiser is a transitory design and it isn't ashamed of it. Inspired by the design of the archaic Retribution class but without certain holdovers, such as the much maligned nuclear pulse propulsion system, the Ajax was one of the final designs by Orion Shipyards that fell into the 'low tech' design school. 'Pocket Onslaught' would be an apt description of its design and intended purpose. What it sacrifices in armour and staying power, it regains in mobility and frontal firepower.

The similarity to the venerable Onslaught extends to more than mere external similarities. Many components that did not need to be designed from scratch are inherited from the Onslaught wholesale, a fact much appreciated by Hegemony quartermasters of the modern day, considering the general state of manufacturing in the Persean Sector. Even if existing Onslaught parts aren't being recycled, only needing one set of design templates for a whole score of replacement parts for not one but two ship designs greatly simplifies logistics.

The catch is that the Ajax only saw limited deployment in the Domain Armada due to the stigma associated with 'low-tech' designs with the exception of the Onslaught, its reputation unfortunately not rubbing off on the Ajax.
This means it is equally as rare in the Hegemony's own fleet, somewhat defeating the purpose of having a battlecruiser design in the first place.",,,,
nsp_phosphophyllite,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. So the official histories say. ",,,,
nsp_eagle_r,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. So the official histories say. ",,,,
nsp_anger_ind,SHIP,"The Anger is a ship that defies traditional expectations of Domain-era shipbuilding. Originally built out of components intended for a variety of different combat vessel hulls, somehow a cohesive design was created in a hidden shipyard beyond the Core Worlds. Originally the brainchild of a brilliant salvager slash inventor, the design, soon after being loaded onto a blueprint chip for nanoforge production, was stolen by, ironically, a salvaging company turned to piracy.",,,,
nsp_mace,SHIP,"The Mace is an interesting hull design, compared to other mainstays of the Persean League's fleet, such as it is. The existence of the Nanoforge on Kazeron is likely the only reason the Mace exists in the first place, giving the navarchs of Kazeron an excuse to tinker with the ability to theoretically build new whip designs from scratch. The Mace isn't that, although it may seem like it. Developed over a painstaking, years long process after the Collapse, using the basis of a prototype Altair Exotech vessel the name of which nobody could recall, and a recovered 'authentication key', for lack of a better term in order to gain kernel-level access to the chip bearing said blueprint, allowing the Kazeron stratocracy's finest minds to effectively beat the prototype's design into the shape of a new vessel. 

The first Mace surprised everyone involved by not exploding the instant it left the orbital works. Compared to many other ships in the Sector, the vessel is practically a newborn. As such, the Persean League's already divided officer corps, due to its officers being sourced from its constituent worlds albeit with a plurality of Kazeronian origin, and lack of a common culture that results from that, has very little idea of what to do with it. It is very missile heavy armaments wise, fitting of its original, especially well suited to field the Directed Energy Munitions almost emblematic of the Persean League, and would do well as a missile boat to complement the existing doctrine. Unfortunately, it is viewed with much suspicion as a pet project of some bored Kazeronians, an untested design, not having weathered the collapse, and unfortunately this attitude has crept all the way up to what passes for the Persean League's high command, leading to the Mace being relegated to the status of a reserve ship, often falling into the hands of young, inexperienced officers. Either by choice or circumstance because all the other, ""better"" vessels had been taken already.
The fact the Mace isn't as capable as, say, an Eagle in direct combat further contributes to its odd stigma. Ironically, it would seem it would only be able to prove itself if the League came under serious external threat, at which point there would be bigger concerns than worrying about some new vessel's place in the overall doctrines.",,,,
nsp_medusa_lt,SHIP,"A fearsome ship whose top tier engines provide great speed and maneuverability for a destroyer. This variant of the venerable destroyer is based on a prototype test-bed, the blueprint of which was never supposed to see the light of day. Lacking the energy weaponry and phase skimmer array of it's completed successor, this vessel in-turn has slightly more armor, and an increase in missile firepower. While undoubtedly less capable, it is nonetheless a ship one would be wise not to underestimate.

The Medusa is one of the most respected destroyers in the Sector due to its association with black ops and elite pirates, and the few spacers who have crewed aboard a Medusa can attest to its technological sophistication.

Medusa-class blueprints are few in number and are closely guarded by their owners; pirates have acquired a Medusa-class hull only a handful of times and the results were inevitably drastic, though short-term, threat to local patrols and subsequent reduction in small to medium intrasystem shipping volume. Such events are considered a tremendous nuisance, particularly accounting for increased insurance premiums. Many trade combines will simply call for their fleets to wait for the pirates to run down their new toy's combat readiness so that local authorities can remove the problem once and for all.",,,,
,,,,,,
deepstrike,SHIP_SYSTEM,"Temporarily engages a primary burn on the system travel drive of the ship. Provides a massive speed boost, and boosts the fire rate of all ship weaponry for the duration of the burn. Cannot be toggled once active.",,,,
deepstrike_maneuver,SHIP_SYSTEM,"Temporarily engages a burn of the engines and auxilliary thrusters, alongside accelerating ammo feeders. Provides a massive speed boost, and boosts the fire rate of all ship weaponry for the duration of the burn. Cannot be toggled once active.",,,,
orion_device_shieldless,SHIP_SYSTEM,"Deploys a shaped antimatter charge behind the ship. The explosion applied to the ship by these charges has been increased to ludicrious degrees, resulting in the ship incurring varying levels of structural damage with each activation and detenation.",,,,
nsp_rammingdrive,SHIP_SYSTEM,"Engages the ship's Lasair Drives and temporarily overloads the engines, propelling the ship great distances with destructive force. Damages the ship and disables weapons on system end.",,,,
zealotscharge,SHIP_SYSTEM,"Activates the heavily modified Deep Strike system of the Absolution (LP), and triggers anti-matter injectors to create a stream of highly destructive fuel in the ship's wake.",,,,
kardakes_feeder,SHIP_SYSTEM,Rapidly and drastically increases range and fire rate for the duration of the system. ,,,,
nsp_temporaljaunt,SHIP_SYSTEM,Ascend into Elysium space on system activation. Temporarily overloads all nearby ships using phase-cloaks or phase-type systems in a radius around the ship.,,,,
,,,,,,
,,,,,,
nsp_invictus_xiv,SHIP,"A design dating to the first explosive expansion of the Domain, this gargantuan mass of armor and all-big-guns was the gauntleted fist that smashed all opposition, spreading hegemony by fear and force over all of spacefaring humanity that was worth conquering.

The steady march of military technology left the hull outdated, however. Its armor design was incompatible with early shield generators, its minimum crew complement staggering, and targeting systems unsophisticated. Modernized replacements were soon developed and the Onslaught-class, among others, was churned out by the great Domain forges. 

An age passed. And, as if by Providence, an expedition sent by the Knights of Ludd discovered an uncorrupted museum archive on a murdered world. A council of inquisitors weighed whether to destroy the Domain-era knowledge, holding a fiery - and secret - debate over the line between sin and virtue, between righteous craft and corrupting technology. An unusually open-minded senior knight-inquisitor examined the contents in detail and persuaded the council to defer the destruction order indefinitely. 

This hull was christened Invictus, a testament to the impossibly heavy armor and vast mass of this absurd cathedral of war. No proper navy would field this monstrosity, but the Church and its Knights can count on a bounty of faithful volunteer-militants to crew the huge munition feeders and crude targeting stations.",,,,
nsp_hobgoblin,SHIP,"The product of a special project by Orion Shipyards, the Hobgoblin class phase destroyer is an early forray into the applications of phase technologies upon military vessels, with the project having partially been the result of a special contract awarded to the corporation by the Domain government, having been narrowly chosen over it's rival, Altair Exotech. Fast, well-armed and surprisingly comfortable for a ship of it's type, the Hobgoblin comes with a hefty maintenance cost relative to it's size, owing to the vessel's ammunition feeders, and specially tuned phase coils. An aggressive statement.",,,,
nsp_reprieve,SHIP,"The Reprieve has more than just a passing resemblance to the Invictus-class battleship due to the fact it was designed roughly at the same time as its larger counterpart. Historical details, of course, are scarce, but what little we know indicates the Reprieve ended up complimenting the Invictus in the Domain's earliest fleets, forming ""gun-lines"" that could annihilate anything that the rest of spacefaring humanity was capable of fielding. Also like the Invictus, it quickly became obsolete, but stuck around longer by virtue of not being as obscenely expensive to crew and supply as its bigger sibling.",,,,
nsp_hammerhead_tt,SHIP,"A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities. This variant of the ship has been massively overhauled, and upgraded, by the TriTachyon corporation.",,,,
nsp_konoblin,SHIP,"A ramshackled, makeshift design produced primarily by pirates, the Konoblin is a frustrating example of 'ingenuity', usually built out of two Gremlin class frigates, in order to create a destroyer sized phase platform. No two Konoblins are the same, and every example seen thus far has been plagued with severe issues stemming from the lack of proper manufacturing capabilities that pirates suffer from. Still, the vessel has proven itself to be useful enough to warrant it's continual usage within various pirate fleets.",,,,
orbital_habitat_domainships,CUSTOM,"An abandoned orbital habitat. A cursory scan indicates that, while it has been cold and dead for tens of cycles at the very least, possibly hundreds, it is in unusually pristine condition. Closer inspection may yield salvage.",,,,
nsp_dominatormk1,SHIP,"This mysterious cruiser was found in long-forgotten deep space, having only been located due to it's poorly-understood connection to it's flagship, the Onslaught Mk.1 recovered from the Orion-Perseus Abyss. While it does not have a recorded identification of its class anywhere within its memory, it most closely resembles an early prototype of a Dominator-class cruiser; though with a number of glaring differences.

While the Dominator-class is renowned for its plentiful ballistic hardpoints in the front of the vessel, this older model is notably different. It's frontal large mounts, instead of being hardpoints, are turreted mounts, allowing the vessel more ease in targeting when compared to the modern Dominator class. Like it's fellow ancients, it too is equipped with extremely robust, albeit ad-hoc, electromechanical automation, allowing it to continue operations from a single unified command despite extreme damage or attrition.

Presumably designed to support the larger Onslaught-class, this primitive Dominator is, just like its modern counterpart, quite capable of punching far above its weight in battle.",,,,
nsp_legionmk1,SHIP,"This mysterious carrier was found in long-forgotten deep space, having only been located due to its poorly-understood connection to it's flagship, the Onslaught Mk.1 recovered from the Orion-Perseus Abyss. While it does not have a recorded identification of its class anywhere within its memory, it most closely resembles an early prototype of a Legion-class carrier; though with a number of glaring differences.

Like the Onslaught, it is equipped with extremely robust electromechanical automation, allowing it to continue operations from a single unified command despite extreme damage or attrition; though this simple design comes with drawbacks for a complex system that produces fighter-craft. As such, this ancient Legion is quite literal in its description being a ""carrier"".  Equipped with an ancient model of carrier-type  nanoforge, this aging vessel is incapable of the modern day output seen in it's matured successor, and modern carrier nanoforges overall.

Presumably to account for the increased time needed in combat to affect repairs and reinforcement, this Legion is perhaps the most heavily armored of all its contemporaries - sporting twice the number of armor applique modules, it can soak up tremendous amounts of damage while maintaining strike pressure against the enemies of the Domain.",,,,
nsp_dominator_pr,SHIP,"Ponderous and menacing, the Dominator-class is one of the most widespread system defense cruisers in Domain space. 

While not the most technologically advanced hull, it relies on a plethora of ballistic hardpoints to accomplish its mission, which is more often than not defending orbital installations and vital points of intra-system trade routes. A poor shield emitter which is difficult to manage and thus, rarely engaged, gives way to an almost impregnable interlocking armor belt system making the Dominator safe from most weapons. Even strike craft cannot overcome the hail of projectiles that can be launched to intercept their payloads. This hull proves that tried and true military engineering is difficult to overcome by new ideas and technologies, especially when in the hands of tough, determined crews and experienced officers.

Dependable, durable, and a constant presence in home space around civilized worlds and outposts, the Dominator is perhaps most hated and feared by pirates and law-breaking corporate agents. 

This Dominator variant was discovered inactive within the ship docks of what is now understood to be a well-preserved, private Domain habitat. While Domain standards of insignia mandated Navy ships to be painted according to their associated battlegroup, this ship has been instead matched to the colors of the Domain Navy itself. Data scraped from the vessel's memory indicates it was a ""prototype parade-ship""; explaining the unusual paintjob, but not so much the modifications.\par
The ship has all the hallmarks of a typical Dominator: plentiful ballistic mounts, interlocking armor, burn drive system. Notably, however, the ship has been equipped with an unfamiliar engine array; likely prototypical Domain propulsion technology, the engines allow for increased speed and maneuverability in comparison to their standard counterparts, and will reroute power into the weapons arrays when actived for a burn; boosting firerate significantly.

Additionally, the typical inbuilt shield emitters are missing - they have been replaced with an older, external system that is potentially vulnerable to external weapons fire. Instead, the shield emitter is tied to the ship's unusual engines, utilizing a poorly-understood process to ""trim"" excess power and reroute it directly into the shields; increasing their flux efficiency at higher speeds.",,,,
nsp_onslaught_domain,SHIP,"A venerable design, the Onslaught-class battleships were first created to serve the Domain Armada long ago, before the development of advanced strike weapons, modern energy weapons, and shield systems. 

When first launched from orbital dock, their firepower and burst-speed surely intimidated entire systems. Some even say that they were built to combat non-humans in a long forgotten war. Much later, Orion Shipyards engineers made modifications to the blueprints to include a shield system, upgraded the hyperdrive, and reduced the required crew complement through automation and iterative engineering. Even though more advanced blueprints are available, the Onslaught remains the easiest to manufacture due to the brutal simplicity of its systems. 

A ship designed without shields in mind, built to be able to withstand a heavy barrage of enemy fire and strike back while protecting its crew is much loved by its officers and crew. And strike back it can; the Onslaught's unmatched ballistic potential can devastate entire fleets in minutes, its only drawback a logistical dependency on ammunition. 

Onslaught crews are proud to serve in the class which forms the backbone of the Hegemony Navy.

This Onslaught variant was discovered inactive within the ship docks of what is now understood to be a well-preserved, private Domain habitat. While Domain standards of insignia mandated Navy ships to be painted according to their associated battlegroup, this ship has been instead matched to the colors of the Domain Navy itself. Data scraped from the vessel's memory indicates it was a ""prototype parade-ship""; explaining the unusual paintjob, but not so much the modifications.

The ship has all the hallmarks of a typical Onslaught: twin forward thermal pulse cannons, heavy armor profile, burn drive system. Notably, however, the ship has been equipped with an unfamiliar engine array; likely prototypical Domain propulsion technology, the engines allow for increased speed and maneuverability in comparison to their standard counterparts, and will reroute power into the weapons arrays when actived for a burn; boosting firerate significantly.

Additionally, the typical inbuilt shield emitters are missing - they have been replaced with an older, external system that is potentially vulnerable to external weapons fire. Instead, the shield emitter is tied to the ship's unusual engines, utilizing a poorly-understood process to ""trim"" excess power and reroute it directly into the shields; increasing their flux efficiency at higher speeds.",,,,
nsp_legion_domain,SHIP,"Classified as a battlecarrier, the Legion mounts an impressive array of heavy weapons, hangar-space, and command-control sufficient to field four fighter wings. Later models were upgraded with nanoforges keyed to replacement of fightercraft, significantly increasing tooth-to-tail ratio on distant deployments.

After the legendary success of the Onslaught design it became clear that rebellious systems without ultra-heavy industry were able to develop carrier-based strike-craft capable of countering the 'Old Man' of the Armada. Alongside new weapons - nimble anti-fighter missiles and rapid-tracking point defense cannon - the Strategic Council decided to deploy a carrier worthy of service alongside the Onslaught. Thus the Legion was designed to provide a platform for interceptors and strike-craft while standing on the line of battle. 

Proponents of the 'Cruiser School' criticized the Legion for insufficient specialization, maintaining that similar fighter volume can be fielded at less cost and greater flexibility if combat roles are separated into distinct ship hulls. These economic arguments do pale in the face of an incoming Legion engaging its burn drive to deliver crushing firepower at the key point of battle.

This Legion variant was discovered inactive within the ship docks of what is now understood to be a well-preserved, private Domain habitat. While Domain standards of insignia mandated Navy ships to be painted according to their associated battlegroup, this ship has been instead matched to the colors of the Domain Navy itself. Data scraped from the vessel's memory indicates it was a ""prototype parade-ship""; explaining the unusual paintjob, but not so much the modifications.\par
The ship has all the hallmarks of a typical Legion: dual docking arrays, heavy missile integration, burn drive system. Notably, however, the ship has been equipped with an unfamiliar engine array; likely prototypical Domain propulsion technology, the engines allow for increased speed and maneuverability in comparison to their standard counterparts, and will reroute power into the weapons arrays when actived for a burn; boosting firerate significantly.

Additionally, the typical inbuilt shield emitters are missing - they have been replaced with an older, external system that is potentially vulnerable to external weapons fire. Instead, the shield emitter is tied to the ship's unusual engines, utilizing a poorly-understood process to ""trim"" excess power and reroute it directly into the shields; increasing their flux efficiency at higher speeds.",,,,
nsp_legion_safeguard,SHIP,"Built to the specifications of the 14th Domain Battlegroup which founded the Hegemony, this vessel is a prime example of the Domain Navy's 'decisive battle' doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. Classified as a battlecarrier, the Legion mounts an impressive array of heavy weapons, hangar-space, and command-control sufficient to field four fighter wings. Later models were upgraded with nanoforges keyed to replacement of fightercraft, significantly increasing tooth-to-tail ratio on distant deployments.

After the legendary success of the Onslaught design it became clear that rebellious systems without ultra-heavy industry were able to develop carrier-based strike-craft capable of countering the 'Old Man' of the Armada. Alongside new weapons - nimble anti-fighter missiles and rapid-tracking point defense cannon - the Strategic Council decided to deploy a carrier worthy of service alongside the Onslaught. Thus the Legion was designed to provide a platform for interceptors and strike-craft while standing on the line of battle. 

Proponents of the 'Cruiser School' criticized the Legion for insufficient specialization, maintaining that similar fighter volume can be fielded at less cost and greater flexibility if combat roles are separated into distinct ship hulls. These economic arguments do pale in the face of an incoming Legion engaging its burn drive to deliver crushing firepower at the key point of battle.",,,,
nsp_onslaught_safeguard,SHIP,"Built to the specifications of the 14th Domain Battlegroup which founded the Hegemony, this vessel is a prime example of the Domain Navy's 'decisive battle' doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. A venerable design, the Onslaught-class battleships were first created to serve the Domain Armada long ago, before the development of advanced strike weapons, modern energy weapons, and shield systems. 

When first launched from orbital dock, their firepower and burst-speed surely intimidated entire systems. Some even say that they were built to combat non-humans in a long forgotten war. Much later, Orion Shipyards engineers made modifications to the blueprints to include a shield system, upgraded the hyperdrive, and reduced the required crew complement through automation and iterative engineering. Even though more advanced blueprints are available, the Onslaught remains the easiest to manufacture due to the brutal simplicity of its systems. 

A ship designed without shields in mind, built to be able to withstand a heavy barrage of enemy fire and strike back while protecting its crew is much loved by its officers and crew. And strike back it can; the Onslaught's unmatched ballistic potential can devastate entire fleets in minutes, its only drawback a logistical dependency on ammunition. 

Onslaught crews are proud to serve in the class which forms the backbone of the Hegemony Navy.",,,,
